,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
27838,PG350,Fanny Herself,"Ferber, Edna",1885.0,1968.0,['en'],74,"{'Domestic fiction', 'Mothers and daughters -- Fiction', 'Jewish families -- Fiction', 'Autobiographical fiction', 'Jewish fiction', 'Jewish girls -- Fiction', 'Bildungsromans', 'Wisconsin -- Fiction'}",
27846,PG35108,Stories of the Nibelungen for Young People,,,,['en'],10,{'Nibelungenlied -- Adaptations'},
27849,PG35110,An Essay on the Development of Christian Doctrine,"Newman, John Henry",1801.0,1890.0,['en'],122,"{'Catholic Church -- Doctrines', 'Dogma, Development of'}",
27861,PG35121,"Asbestos, Its production and use: With some account of the asbestos mines of Canada","Jones, Robert H.",,,['en'],63,"{'Asbestos mines and mining -- Québec (Province)', 'Asbestos'}",
27870,PG3512,"Human Genome Project, Chromosome Number 12",Human Genome Project,,,['en'],2,"{'Nucleotide sequence', 'Human Genome Project', 'Human gene mapping', 'Human genetics'}",Dataset
27885,PG35143,"The Martins Of Cro' Martin, Vol. I (of II)","Lever, Charles James",1806.0,1872.0,['en'],27,"{'Ireland -- Social life and customs -- 19th century -- Fiction', 'Ireland -- History -- 1800-1837 -- Fiction'}",
27886,PG35144,"The Martins Of Cro' Martin, Vol. II (of II)","Lever, Charles James",1806.0,1872.0,['en'],22,"{'Ireland -- Social life and customs -- 19th century -- Fiction', 'Ireland -- History -- 1800-1837 -- Fiction'}",
27887,PG35145,"Paul Gosslett's Confessions in Love, Law, and The Civil Service","Lever, Charles James",1806.0,1872.0,['en'],6,{'Fiction'},
27902,PG35159,An Essay on Criticism,"Oldmixon, Mr. (John)",1673.0,1742.0,['en'],30,{'Criticism'},
27911,PG35167,Philological Proofs of the Original Unity and Recent Origin of the Human Race,"Johnes, Arthur James",1809.0,1871.0,['en'],53,"{'Language and languages', 'Monogenism and polygenism', 'Human beings -- Origin', 'Ethnology'}",
27917,PG35172,The New Irish Constitution: An Exposition and Some Arguments,,,,['en'],12,"{'Home rule -- Ireland', 'Ireland -- Politics and government'}",
27929,PG35183,"Memorials of the Sea: My Father: Being Records of the Adventurous Life of the Late William Scoresby, Esq. of Whitby","Scoresby, William",1789.0,1857.0,['en'],17,"{'Whaling', 'Scoresby, William, 1760-1829', 'Fathers and sons -- England -- Whitby'}",
27931,PG35185,The Buddha's Path of Virtue: A Translation of the Dhammapada,,,,['en'],63,"{'Virtues (Buddhism)', 'Buddhism -- Sacred books', 'Buddhism'}",
27948,PG351,Of Human Bondage,"Maugham, W. Somerset (William Somerset)",1874.0,1965.0,['en'],635,"{'Artists -- Fiction', 'Orphans -- Fiction', 'People with disabilities -- Fiction', 'Physicians -- Fiction', 'Bildungsromans'}",
27960,PG35210,Socialism and the Social Movement in the 19th Century,"Sombart, Werner",1863.0,1941.0,['en'],22,{'Socialism'},
27965,PG35215,The French Revolution,"Belloc, Hilaire",1870.0,1953.0,['en'],158,"{'France -- History -- Revolution, 1789-1799 -- Causes', 'France -- History -- Revolution, 1789-1799'}",
27985,PG35233,"The Streets of Ascalon: Episodes in the Unfinished Career of Richard Quarren, Esqre.","Chambers, Robert W. (Robert William)",1865.0,1933.0,['en'],43,{'Fiction'},
